User nb,method,density,targets Size,time to select,selected
3,Bubble,90,18,0.8747053146362305,1
3,Bubble,90,18,1.089735984802246,0
3,Bubble,90,18,0.36672306060791016,1
3,Rope,90,6,0.7523407936096191,1
3,Rope,90,6,0.5517978668212891,1
3,Rope,90,6,0.9275732040405273,1
3,Rope,90,6,1.628446102142334,1
3,Rope,90,6,2.8343799114227295,0
3,Rope,90,6,0.6637976169586182,1
3,Rope,90,12,1.7452046871185303,1
3,Rope,90,12,0.9745023250579834,1
3,Rope,90,12,1.2157008647918701,1
3,Rope,90,12,2.7856454849243164,0
3,Rope,90,12,0.3525254726409912,1
3,Rope,90,12,1.1653761863708496,1
3,Rope,90,18,1.4559013843536377,0
3,Rope,90,18,0.3639492988586426,1
3,Rope,90,18,0.7973525524139404,1
3,Rope,90,18,0.9235875606536865,1
3,Rope,90,18,1.4987432956695557,1
3,Rope,90,18,1.2727735042572021,1
1,Bubble,60,18,6.752393960952759,1
1,Bubble,60,18,2.826568365097046,1
1,Bubble,60,18,1.8968944549560547,1
1,Bubble,60,18,3.5127217769622803,1
1,Bubble,60,18,1.915187120437622,1
1,Rope,60,18,35.10540246963501,1
1,Rope,60,18,1.31180739402771,1
1,Rope,60,18,4.173426151275635,0
1,Rope,60,18,0.5241270065307617,0
1,Rope,60,18,0.6637935638427734,0
1,Rope,60,18,3.606335401535034,1
1,Rope,60,18,0.9404692649841309,1
1,Rope,60,18,1.63956880569458,1
